Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,2080_004.2,EB,2080_004.2_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     44.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      1.28,      1.28,         0,         0,         0,         0,         0
All,ok,drive,2080_004.6,EB,2080_004.6_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     46.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,UTA_2004,NB,UTA_2004_NB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     50.00,     15.00,      0.42,      0.42,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0089_365.5,NB,0089_365.5_NB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     55.00,     15.00,      0.01,      0.01,         0,         0,         0,         0,         0,      0.49,      0.49,         0,         0,         0,         0,         0
All,ok,drive,2098_000.4,EB,2098_000.4_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     57.00,     15.00,      0.09,         0,      0.09,         0,         0,         0,         0,      0.35,      0.35,         0,         0,         0,         0,         0
All,ok,drive,UTA_2005,EB,UTA_2005_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     59.00,     15.00,      3.91,      0.37,      0.01,         0,         0,      3.53,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2098_001.1,EB,2098_001.1_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     62.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,2098_001.4,NB,2098_001.4_NB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     65.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      1.97,      0.14,      0.05,         0,         0,      1.78,         0
All,ok,drive,0209_014.0,EB,0209_014.0_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     67.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.66,      0.24,      0.01,         0,         0,      0.41,         0
All,ok,drive,0209_014.5,EB,0209_014.5_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     69.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.64,      0.17,      0.01,         0,         0,      0.46,         0
All,ok,drive,0209_015.0,EB,0209_015.0_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     70.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.46,      0.13,      0.01,         0,         0,      0.32,         0
All,ok,drive,0209_015.5,EB,0209_015.5_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     72.00,     15.00,      0.06,      0.06,         0,         0,         0,         0,         0,      0.56,      0.25,      0.02,         0,         0,      0.29,         0
