Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,2999_001.3,WB,2999_001.3_WB,      4.00,M821_Psn,M821_Psn,      1.00,     94.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,WB,3033_000.0_WB,      4.00,M821_Psn,M821_Psn,      1.00,    103.00,     30.00,      0.14,      0.14,         0,         0,         0,         0,         0,      1.63,      1.63,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,NB,0189_000.6_NB,      4.00,M821_Psn,M821_Psn,      1.00,    106.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.85,      1.85,         0,         0,         0,         0,         0
All,ok,drive,3014_001.5,WB,3014_001.5_WB,      4.00,M821_Psn,M821_Psn,      1.00,    108.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.94,      0.94,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,NB,UTA_0990_NB,      4.00,M821_Psn,M821_Psn,      1.00,    110.00,     30.00,         0,         0,         0,         0,         0,         0,         0,     10.56,     10.56,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,SB,UTA_0990_SB,      4.00,M821_Psn,M821_Psn,      2.00,      1.00,     30.00,      9.30,      1.49,         0,      0.24,         0,         0,      7.57,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,EB,3033_000.0_EB,      4.00,M821_Psn,M821_Psn,      2.00,      9.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.24,      0.24,         0,         0,         0,         0,         0
All,ok,drive,2999_000.3,EB,2999_000.3_EB,      4.00,M821_Psn,M821_Psn,      2.00,     12.00,     30.00,      0.69,      0.69,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0089_331.6,SB,0089_331.6_SB,      4.00,M821_Psn,M821_Psn,      2.00,     18.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.49,      0.04,         0,      0.01,         0,         0,      0.44
All,ok,drive,0089_331.1,SB,0089_331.1_SB,      4.00,M821_Psn,M821_Psn,      2.00,     21.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.02,      0.11,         0,      0.01,         0,         0,      0.90
All,ok,drive,0089_329.8,SB,0089_329.8_SB,      4.00,M821_Psn,M821_Psn,      2.00,     26.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.92,      0.15,         0,      0.02,         0,         0,      0.75
All,ok,drive,0089_328.8,SB,0089_328.8_SB,      4.00,M821_Psn,M821_Psn,      2.00,     29.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.20,      0.23,         0,      0.03,         0,         0,      0.94
All,ok,drive,3086_000.4,EB,3086_000.4_EB,      4.00,M821_Psn,M821_Psn,      2.00,     31.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.80,      0.08,         0,      0.03,         0,         0,      0.69
All,ok,drive,3084_001.3,SB,3084_001.3_SB,      4.00,M821_Psn,M821_Psn,      2.00,     33.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.02,         0,         0,         0,         0,      0.11
All,ok,drive,3084_000.9,SB,3084_000.9_SB,      4.00,M821_Psn,M821_Psn,      2.00,     35.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.97,      0.18,         0,      0.02,         0,         0,      0.77
All,ok,drive,3080_000.0,WB,3080_000.0_WB,      4.00,M821_Psn,M821_Psn,      2.00,     37.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.54,      0.09,         0,      0.01,         0,         0,      0.44
All,ok,drive,0089_327.9,SB,0089_327.9_SB,      4.00,M821_Psn,M821_Psn,      2.00,     38.00,     30.00,      3.90,      3.90,         0,         0,         0,         0,         0,      0.19,      0.14,         0,         0,         0,         0,      0.05
All,ok,drive,0051_001.6,SB,0051_001.6_SB,      4.00,M821_Psn,M821_Psn,      2.00,     45.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.02,         0,         0,         0,         0,      0.04
All,ok,drive,0051_000.6,SB,0051_000.6_SB,      4.00,M821_Psn,M821_Psn,      2.00,     51.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.15,      0.11,         0,         0,         0,         0,      0.04
All,ok,drive,2832_000.8,WB,2832_000.8_WB,      4.00,M821_Psn,M821_Psn,      2.00,     56.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      3.07,      1.79,         0,      0.05,         0,         0,      1.23
All,ok,drive,2837_000.7,SB,2837_000.7_SB,      4.00,M821_Psn,M821_Psn,      2.00,     61.00,     30.00,      1.85,      1.85,         0,         0,         0,         0,         0,      1.13,      0.72,         0,      0.02,         0,         0,      0.39
All,ok,drive,2837_000.4,SB,2837_000.4_SB,      4.00,M821_Psn,M821_Psn,      2.00,     63.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.12,         0,         0,         0,         0,      0.06
All,ok,drive,3062_000.6,WB,3062_000.6_WB,      4.00,M821_Psn,M821_Psn,      2.00,     64.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,3062_000.3,WB,3062_000.3_WB,      4.00,M821_Psn,M821_Psn,      2.00,     66.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.03,         0,         0,         0,         0,      0.14
All,ok,drive,0156_000.2,SB,0156_000.2_SB,      4.00,M821_Psn,M821_Psn,      2.00,     68.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.60,      0.47,         0,         0,         0,         0,      0.13
All,ok,drive,0156_000.0,SB,0156_000.0_SB,      4.00,M821_Psn,M821_Psn,      2.00,     69.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.22,      0.05,         0,         0,         0,         0,      0.17
All,ok,drive,0198_011.81,SB,0198_011.81_SB,      4.00,M821_Psn,M821_Psn,      2.00,     71.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.81,      0.64,         0,         0,         0,         0,      0.17
All,ok,drive,0198_011.5,SB,0198_011.5_SB,      4.00,M821_Psn,M821_Psn,      2.00,     72.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0198_009.1,SB,0198_009.1_SB,      4.00,M821_Psn,M821_Psn,      2.00,     80.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.70,      0.62,         0,      0.01,         0,         0,      0.07
All,ok,drive,0198_008.9,SB,0198_008.9_SB,      4.00,M821_Psn,M821_Psn,      2.00,     81.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,WB,0198_007.6_WB,      4.00,M821_Psn,M821_Psn,      2.00,     88.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.41,      0.39,         0,         0,         0,         0,      0.02
All,ok,drive,0198_006.3,WB,0198_006.3_WB,      4.00,M821_Psn,M821_Psn,      2.00,     92.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.34,      0.34,         0,         0,         0,         0,         0
